iter	RMSE
0	91121.66954
1	86707.50211
2	82072.14882
3	78139.6356
4	74770.90815
5	71663.24149
6	68583.2182
7	65432.3089
8	62650.35835
9	60009.88189
10	57584.34743
11	55327.60022
12	53437.28502
13	51527.24321
14	50231.2557
15	48571.92907
16	47521.60063
17	45892.89835
18	44537.98815
19	43402.15977
20	42422.17865
21	41559.385
22	40372.90829
23	39490.59714
24	38625.51982
25	37784.23646
26	37052.05204
27	36402.5204
28	35976.091
29	35310.58013
30	34711.56828
31	34258.37762
32	33817.77516
33	33389.57307
34	33120.53641
35	32649.12581
36	32297.63539
37	31967.89164
38	31693.21852
39	31410.64194
40	31177.25998
41	30877.5762
42	30659.69549
43	30379.16739
44	30000.05426
45	29744.01916
46	29648.62299
47	29512.90904
48	29274.51926
49	29074.75966
50	28886.96139
51	28755.00348
52	28454.70503
53	28169.02873
54	27977.1606
55	27824.45403
56	27762.43791
57	27491.1575
58	27320.10002
59	27229.78826
60	27101.84218
61	27061.30826
62	26874.06914
63	26726.55091
64	26690.83551
65	26653.02562
66	26604.04761
67	26425.92095
68	26298.74696
69	26195.94621
70	26035.71892
71	25854.67801
72	25712.96347
73	25592.51973
74	25552.01507
75	25313.90988
76	25164.15326
77	25105.83935
78	25004.44775
79	24942.21407
80	24821.72995
81	24568.46341
82	24481.57458
83	24389.71273
84	24290.23596
85	24200.95352
86	24068.99579
87	24044.41686
88	23927.28634
89	23870.16277
90	23708.39798
91	23650.68326
92	23455.25059
93	23401.77464
94	23369.2582
95	23291.60161
96	23264.5961
97	23193.69255
98	23103.91124
99	23049.83672
100	22860.02229
101	22807.7835
102	22787.96864
103	22766.45938
104	22722.14872
105	22703.87614
106	22691.31603
107	22673.68597
108	22511.23167
109	22433.60975
110	22203.13479
111	22186.44413
112	22150.20543
113	21956.25755
114	21944.22173
115	21831.2594
116	21821.18691
117	21806.76711
118	21774.27052
119	21762.53734
120	21624.33398
121	21611.30599
122	21382.73541
123	21287.12892
124	21144.33711
125	21058.93177
126	20981.69924
127	20935.58298
128	20922.07059
129	20895.77135
130	20867.35281
131	20713.74831
132	20702.32731
133	20574.14657
134	20452.09789
135	20380.14945
136	20372.50714
137	20209.43846
138	20094.65849
139	20074.83185
140	19892.72182
141	19758.88416
142	19638.35935
143	19630.37502
144	19621.28057
145	19454.63235
146	19446.17845
147	19410.70387
148	19401.33282
149	19385.42288
150	19273.18409
151	19184.77253
152	19091.4503
153	19033.52616
154	18947.98948
155	18875.70521
156	18772.97845
157	18590.0751
158	18467.10489
159	18343.2433
160	18223.57914
161	18089.08266
162	18082.53581
163	18075.91632
164	17975.6335
165	17962.89987
166	17832.43329
167	17766.95377
168	17728.07521
169	17543.38817
170	17465.27353
171	17369.86512
172	17354.74857
173	17334.97698
174	17329.33821
175	17322.5791
176	17296.46032
177	17212.80003
178	17133.64961
179	17107.85988
180	17068.65633
181	16969.57478
182	16941.02979
183	16912.35551
184	16886.31618
185	16866.64878
186	16796.27652
187	16751.82711
188	16726.67197
189	16700.1311
190	16658.75432
191	16558.1289
192	16549.5979
193	16503.94765
194	16409.16563
195	16363.47829
196	16237.31812
197	16209.52694
198	16144.86999
199	16081.30482
